"Cement","Slag","Fly","Water","Superplasticizer","Coarse","Fine","Age","CCS"
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
192,288,0,192,0,929.8,716.1,7,21.48
289,0,0,192,0,913.2,895.3,28,25.57
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
153,102,0,192,0,888,943.1,90,26.32
540,0,0,173,0,1125,613,180,71.62
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
255,0,0,192,0,889.8,945,28,18.75
355,19,97,145,13.1,967,871,28,44.03
359,19,141,154,10.9,942,801,56,68.75
349,0,0,192,0,1047,806,28,32.72
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
288,192,0,192,0,932,717.8,3,16.11
475,0,0,228,0,932,594,90,42.23
202,11,141,206,1.7,942,801,7,15.07
342,38,0,228,0,932,670,365,56.14
375,0,0,186,0,1038,758,28,38.21
321.3,164.2,0,190.5,4.6,870,774,28,57.22
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
151,0,185,167,16,1074,678,28,13.46
480,0,0,192,0,936.2,712.2,7,34.57
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
424,22,132,178,8.5,822,750,28,62.05
491,26,123,201,3.9,822,699,28,57.92
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
393,0,0,192,0,940,758,3,19.11
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
450.1,50,0,200,3,1124.4,613.2,28,39.38
331,0,0,192,0,978,825,180,39
155,184,143,194,9,880,699,28,28.99
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
237.5,237.5,0,228,0,932,594,7,26.26
381.4,0,0,185.7,0,1104.6,784.3,7,14.54
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
380,0,0,228,0,932,670,365,52.52
116,173,0,192,0,909.8,891.9,28,22.35
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
310,142.8,0,167.9,10,914.3,804,28,45.3
296,0,0,192,0,1085,765,7,14.2
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
397,0,0,185.7,0,1040.6,734.3,28,33.08
152,178,139,168,18,944,695,28,36.35
139.6,209.4,0,192,0,1047,806.9,180,44.21
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
385,0,0,186,0,966,763,7,23.22
325,0,0,184,0,1063,783,28,30.57
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
236,0,0,193,0,968,885,7,9.99
424,22,132,168,8.9,822,750,28,72.1
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
183.9,122.6,0,203.5,0,959.2,800,90,32.53
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
305.3,203.5,0,203.5,0,965.4,631,3,14.14
252,0,0,185,0,1111,784,28,19.69
307,0,0,193,0,968,812,28,27.53
108.3,162.4,0,203.5,0,938.2,849,90,29.23
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
359,19,141,154,10.9,942,801,7,38.61
285,190,0,163,7.6,1031,685,28,53.58
277,116.8,91,190.6,7,946.5,665.6,28,43.58
339,0,0,197,0,968,781,3,13.22
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
162,214,164,202,10,820,680,28,30.65
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
236,157,0,192,0,972.6,749.1,28,32.88
144,0,175,158,18,943,844,28,15.42
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
322,0,0,203,0,974,800,14,20.77
139.6,209.4,0,192,0,1047,806.9,3,8.06
314,0,113,170,10,925,783,28,38.46
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
475,0,0,228,0,932,594,365,41.93
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
427.5,47.5,0,228,0,932,594,28,37.43
339,0,0,197,0,968,781,7,20.97
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
425,106.3,0,151.4,18.6,936,803.7,28,61.8
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
331,0,0,192,0,1025,821,90,37.91
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
295,0,0,185,0,1069,769,28,25.18
332.5,142.5,0,228,0,932,594,28,33.02
148,0,137,158,16,1002,830,28,17.95
475,0,0,228,0,932,594,7,38.6
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
302,0,0,203,0,974,817,28,21.75
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
380,95,0,228,0,932,594,365,43.7
238.1,0,94.1,186.7,7,949.9,847,3,19.93
304,76,0,228,0,932,670,180,50.95
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
331,0,0,192,0,879,825,3,13.52
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
277,117,91,191,7,946,666,28,43.57
198.6,132.4,0,192,0,978.4,825.5,180,41.72
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
310,143,0,168,10,914,804,28,45.3
237.5,237.5,0,228,0,932,594,90,33.12
305.3,203.5,0,203.5,0,965.4,631,90,54.6
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
451,0,0,165,11.3,1030,745,28,78.8
393,0,0,192,0,940.6,785.6,90,48.85
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
359,19,141,154,10.9,942,801,56,66.78
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
273,0,90,199,11,931,762,28,32.24
342,38,0,228,0,932,670,90,50.46
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
255,0,0,192,0,889.8,945,7,10.22
525,0,0,189,0,1125,613,14,48.4
237,92,71,247,6,853,695,28,28.63
261,100,78,201,9,864,761,28,32.4
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
339.2,0,0,185.7,0,1069.2,754.3,7,21.18
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
350,0,0,203,0,974,775,90,31.35
356,119,0,160,9,1061,657,28,59
164,163,128,197,8,961,641,28,27.23
149,236,0,176,13,847,893,28,32.96
133,200,0,192,0,927.4,839.2,3,6.88
136,196,98,199,6,847,783,28,26.97
156,178,187,221,7,854,614,28,29.41
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
153,145,113,178,8,1002,689,28,25.56
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
310,0,0,192,0,1012,830,7,17.24
350,0,0,203,0,974,775,7,18.13
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
200,133,0,192,0,965.4,806.2,90,43.25
150,237,0,174,12,1069,675,28,37.43
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
159,209,161,201,7,848,669,28,30.88
331,0,0,192,0,1025,821,3,14.31
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
146,173,0,182,3,986,817,28,23.74
133,200,0,192,0,927.4,839.2,28,27.87
332.5,142.5,0,228,0,932,594,7,30.28
225,0,0,181,0,1113,833,28,17.34
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
540,0,0,173,0,1125,613,28,67.31
165,0,143.6,163.8,0,1005.6,900.9,3,14.4
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
190,190,0,228,0,932,670,365,53.69
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
190.7,0,125.4,162.1,7.8,1090,804,3,15.04
339,0,0,185,0,1069,754,7,21.16
153.1,145,113,178.5,8,867.2,824,28,26.23
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
310,0,0,192,0,1012,830,3,11.85
385,0,0,186,0,966,763,1,6.27
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
349,0,0,192,0,1056,809,28,33.61
266,112,87,178,10,910,745,28,39.42
339,0,0,197,0,968,781,14,27.04
316.1,210.7,0,185.7,0,977,689.3,7,24.44
310,0,0,192,0,970,850,28,27.92
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
116,173,0,192,0,909.8,891.9,7,10.09
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
491,26,123,210,3.9,882,699,7,33.49
389.9,189,0,145.9,22,944.7,755.8,3,40.6
254,0,0,198,0,968,863,90,26.94
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
480,0,0,192,0,936.2,712.2,90,54.32
387,20,94,157,14.3,938,845,56,56.34
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
381.4,0,0,185.7,0,1104.6,784.3,28,22.49
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
310,0,0,192,0,970,850,7,14.99
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
314,145,113,179,8,869,690,28,46.23
239.6,359.4,0,185.7,0,941.6,664.3,7,25.42
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
200,200,0,190,0,1145,660,28,49.25
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
350,0,0,203,0,974,775,180,32.72
252,0,0,185,0,1111,784,28,19.69
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
397,0,0,186,0,1040,734,28,36.94
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
133,200,0,192,0,927.4,839.2,90,36.59
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
312.7,0,0,178.1,8,999.7,822.2,28,25.1
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
143,169,143,191,8,967,643,28,29.72
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
153,102,0,192,0,888,943.1,3,4.78
331,0,0,192,0,978,825,7,16.26
349,0,0,192,0,1056,809,7,9.01
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
225,0,0,181,0,1113,833,7,11.17
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
140,133,103,200,7,916,753,28,36.44
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
139.6,209.4,0,192,0,1047,806.9,7,14.59
522,0,0,146,0,896,896,7,50.51
393,0,0,192,0,940.6,785.6,3,19.2
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
238.1,0,94.1,186.7,7,949.9,847,28,30.23
288,121,0,177,7,908,829,28,42.13
516,0,0,162,8.3,801,802,28,41.37
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
500,0,0,140,4,966,853,28,67.57
325.6,166.4,0,174,8.9,881.6,790,28,61.24
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
333,0,0,192,0,931.2,842.6,28,31.97
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
520,0,0,175,5.2,870,805,28,51.02
277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
385,0,0,186,0,966,763,28,31.35
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
304,76,0,228,0,932,670,90,49.19
446,24,79,162,10.3,967,712,56,54.77
366,187,0,191,7,824,757,28,65.91
159,149,116,175,15,953,720,28,27.68
149,139,109,193,6,892,780,28,23.69
393,0,0,192,0,940,758,28,39.58
424,22,132,178,8.5,822,750,56,65.7
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
144,15,195,176,6,1021,709,28,15.34
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
300,0,0,184,0,1075,795,28,26.85
382,0,0,186,0,1047,739,7,24
491,26,123,201,3.9,822,699,3,29.55
439,177,0,186,11.1,884.9,707.9,91,73.3
446,24,79,162,10.3,967,712,28,53.39
141.3,212,0,203.5,0,971.8,748.5,90,39.66
202,11,141,206,1.7,942,801,3,9.85
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
153,239,0,200,6,1002,684,28,26.86
313.3,145,0,178.5,8,1001.9,688.7,28,41.05
491,26,123,210,3.9,882,699,56,59.59
349,0,0,192,0,1047,806,90,39.49
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
385,0,136,158,20,903,768,28,55.55
153,145,0,178,8,1000,822,28,19.01
540,0,0,173,0,1125,613,270,74.17
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
300,0,0,184,0,1075,795,7,15.58
355,19,97,145,12.3,967,871,28,55.45
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
116,173,0,192,0,909.8,891.9,3,6.28
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
393,0,0,192,0,940,758,90,48.79
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
295,0,0,185,0,1069,769,7,14.8
151,0,184,167,12,991,772,28,15.57
153,102,0,192,0,888,943.1,28,17.96
157,236,0,192,0,935.4,781.2,7,16.89
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
296,0,0,186,0,1090,769,28,25.18
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
155,183,0,193,9,877,868,28,23.79
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
287,121,94,188,9,904,696,28,41.94
254,0,0,198,0,968,863,3,9.31
321,0,128,182,11,870,780,28,37.26
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12
200,133,0,192,0,965.4,806.2,3,11.41
446,24,79,162,11.6,967,712,3,35.36
276,116,90,180,9,870,768,28,44.28
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
236,0,0,193,0,968,885,180,24.1
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
300,0,120,212,10,878,728,28,23.84
133,210,0,196,3,949,795,28,31.03
480,0,0,192,0,936.2,712.2,3,24.4
133,200,0,192,0,927.4,839.2,7,13.66
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
500.1,0,0,200,3,1124.4,613.2,28,44.13
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
540,0,0,173,0,1125,613,3,41.64
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
475,0,0,162,9.5,1044,662,28,58.52
427.5,47.5,0,228,0,932,594,365,43.7
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
318,0,126,210,6,861,737,28,40.06
359,19,141,154,10.9,942,801,3,25.12
296,0,107,221,11,819,778,28,31.42
252.5,0,0,185.7,0,1111.6,784.3,7,11.48
439,177,0,186,11.1,884.9,707.9,7,56.1
322,0,0,203,0,974,800,180,29.59
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
332.5,142.5,0,228,0,932,594,270,40.27
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
525,0,0,189,0,1125,613,3,33.8
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
387,20,94,157,11.6,938,845,28,46.68
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
491,26,123,201,3.9,822,699,7,37.92
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
190,190,0,228,0,932,670,270,50.66
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
359,19,141,154,10.9,942,801,28,59.49
238.1,0,94.1,186.7,7,949.9,847,56,39.59
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
500,0,0,151,9,1033,655,28,69.84
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
475,0,59,142,1.9,1098,641,28,57.23
316.1,210.7,0,185.7,0,977,689.3,28,38.7
288.4,121,0,177.4,7,907.9,829.5,28,42.14
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
446,24,79,162,11.6,967,712,7,39.3
102,153,0,192,0,887,942,7,7.68
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
152,0,112,184,8,992,816,28,12.18
144,136,106,178,7,941,774,28,26.14
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
288,192,0,192,0,932,717.8,90,50.53
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
144,170,133,192,8,814,805,28,29.87
149,153,194,192,8,935,623,28,24.58
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
198.6,132.4,0,192,0,978.4,825.5,3,9.13
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
296,0,0,192,0,1085,765,90,29.39
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
296,0,0,186,0,1090,769,7,18.91
520,0,0,170,5.2,855,855,28,60.28
295.8,0,0,185.7,0,1091.4,769.3,7,14.84
339.2,0,0,185.7,0,1069.2,754.3,28,31.9
310,0,0,192,0,1012,830,90,35.76
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
198.6,132.4,0,192,0,978.4,825.5,7,14.64
132,207,161,179,5,867,736,28,33.3
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
393,0,0,192,0,940.6,785.6,7,27.74
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
342,38,0,228,0,932,670,180,52.12
156,243,0,180,11,1022,698,28,37.36
108.3,162.4,0,203.5,0,938.2,849,3,2.33
192,288,0,192,0,929.8,716.1,3,12.79
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
380,95,0,228,0,932,594,7,32.82
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
516,0,0,162,8.2,801,802,28,41.37
525,0,0,189,0,1125,613,7,42.42
236,0,0,194,0,968,885,90,21.95
382,0,0,185,0,1047,739,28,37.42
186.2,124.1,0,185.7,0,1083.4,764.3,7,8
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
202,11,141,206,1.7,942,801,28,21.97
