ixDay,Date,Weekday,,SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
43,3/3/2000,Friday,43,140.44,141.72,139.72,141.12,12770300,107.06
44,3/6/2000,Monday,44,140.81,141.34,138.75,139.75,11967100,106.01
45,3/7/2000,Tuesday,45,140,140.16,135.22,137.05,20062000,103.96
46,3/8/2000,Wednesday,46,136.47,137.84,135.03,136.88,11808500,103.83
47,3/9/2000,Thursday,47,137.25,140.88,136.12,140.88,5500900,106.87
48,3/10/2000,Friday,48,140.19,142,139.53,140.12,7924600,106.3
49,3/13/2000,Monday,49,136.69,140.47,135.69,138.59,10540500,105.14
50,3/14/2000,Tuesday,50,139.28,140.09,136.16,136.62,8263900,103.64
51,3/15/2000,Wednesday,51,136.88,140.44,136.06,139.81,10300800,106.06
52,3/16/2000,Thursday,52,141.62,146.84,140.88,146.34,25601400,111.02
53,3/17/2000,Friday,53,145.81,148,145.44,146.94,10272900,111.75
54,3/20/2000,Monday,54,146.88,147.34,144.78,146.19,12502300,111.18
55,3/21/2000,Tuesday,55,145.53,149.75,144.5,149.19,13612600,113.46
56,3/22/2000,Wednesday,56,149.56,150.84,148.69,150.09,8260000,114.15
57,3/23/2000,Thursday,57,149.16,153.47,149.16,152.66,11654500,116.1
58,3/24/2000,Friday,58,152.88,155.75,151.72,153.56,11462900,116.79
59,3/27/2000,Monday,59,153.38,153.78,151.81,151.94,8798600,115.55
60,3/28/2000,Tuesday,60,151.25,152.98,150.59,151.06,6334400,114.89
61,3/29/2000,Wednesday,61,151.56,152.48,149.66,151.22,6747500,115.01
62,3/30/2000,Thursday,62,150.16,151.92,147.12,148.69,9491900,113.08
63,3/31/2000,Friday,63,149.62,152.31,148.44,150.38,9249100,114.36
64,4/3/2000,Monday,64,150.12,151.25,148.69,151.25,8508200,115.03
65,4/4/2000,Tuesday,65,151.75,153,141.39,150.12,19585500,114.17
66,4/5/2000,Wednesday,66,147.88,150.81,147.62,149.19,8387200,113.46
67,4/6/2000,Thursday,67,150.25,151.69,149,150.48,6378500,114.45
68,4/7/2000,Friday,68,151.56,152.12,150.5,151.44,6023600,115.17
69,4/10/2000,Monday,69,151.75,153.11,150.31,150.84,9624200,114.72
70,4/11/2000,Tuesday,70,150,151.62,148.38,150.41,9006400,114.39
71,4/12/2000,Wednesday,71,150.38,151.16,146.16,146.28,10779200,111.25
72,4/13/2000,Thursday,72,147.47,148.16,143.78,144.25,12225800,109.71
73,4/14/2000,Friday,73,142.62,142.81,133.5,136,29604000,103.43
74,4/17/2000,Monday,74,135.19,140.75,134.69,140.75,23918200,107.04
75,4/18/2000,Tuesday,75,140.56,144.47,139.78,144.47,11069200,109.87
76,4/19/2000,Wednesday,76,144.5,145.12,142.53,143.12,6553700,108.85
77,4/20/2000,Thursday,77,143.56,143.94,142.38,143.81,8537600,109.37
78,4/24/2000,Monday,78,141.5,143.31,140.5,142.25,12893100,108.18
79,4/25/2000,Tuesday,79,144.62,148.16,144.44,148.16,14102000,112.68
80,4/26/2000,Wednesday,80,147.97,148.75,146,146.48,7711100,111.41
81,4/27/2000,Thursday,81,143,147.34,143,146,15595300,111.04
82,4/28/2000,Friday,82,147,147.86,145.06,145.09,8743400,110.35
83,5/1/2000,Monday,83,146.56,148.48,145.84,147.06,7328300,111.84
84,5/2/2000,Tuesday,84,145.5,147.12,144.12,144.12,9411900,109.61
85,5/3/2000,Wednesday,85,144,144,139.78,140.75,12630700,107.04
86,5/4/2000,Thursday,86,142,142.36,140.75,141.81,5963600,107.85
87,5/5/2000,Friday,87,141.06,144,140.94,143.53,7862400,109.16
88,5/8/2000,Monday,88,142.75,143.38,141.84,142.45,5064100,108.34
89,5/9/2000,Tuesday,89,143.06,143.41,140.27,141.31,5620300,107.47
90,5/10/2000,Wednesday,90,140.5,140.97,137.75,138.12,10293900,105.05
91,5/11/2000,Thursday,91,140.12,141.5,139.12,141.28,7091100,107.45
92,5/12/2000,Friday,92,141.81,143.47,141.62,142.81,5960800,108.61
93,5/15/2000,Monday,93,142.75,145.61,142,145.28,4441300,110.49
94,5/16/2000,Tuesday,94,146.56,147.72,145.31,146.69,8192200,111.56
95,5/17/2000,Wednesday,95,145.69,146.19,144.47,145.16,5907200,110.39
96,5/18/2000,Thursday,96,145.62,146.31,143.38,143.38,4325600,109.04
97,5/19/2000,Friday,97,142.56,143.23,140.41,141.12,6518400,107.33
98,5/22/2000,Monday,98,141.25,141.47,137,140.06,10839400,106.52
99,5/23/2000,Tuesday,99,140.44,140.81,137.56,138,7979200,104.95
100,5/24/2000,Wednesday,100,138,140.69,136.5,140.25,11081500,106.66
101,5/25/2000,Thursday,101,140.69,141.81,137.72,137.84,8278900,104.83
102,5/26/2000,Friday,102,138.81,139.69,137.33,138,4814000,104.95
103,5/30/2000,Tuesday,103,140,142.94,139.47,142.5,5362700,108.37
104,5/31/2000,Wednesday,104,142.56,144,142.09,142.81,6056500,108.61
105,6/1/2000,Thursday,105,143.69,145.44,143,145.31,8961600,110.51
106,6/2/2000,Friday,106,148.94,149.09,147.48,147.84,8962200,112.44
107,6/5/2000,Monday,107,147.47,148.22,146.88,147.12,6998100,111.89
108,6/6/2000,Tuesday,108,146.62,147.78,145.91,146.47,4858900,111.39
109,6/7/2000,Wednesday,109,146.62,148,146,147.48,4919500,112.17
110,6/8/2000,Thursday,110,147.5,147.75,146.06,146.91,5723100,111.73
111,6/9/2000,Friday,111,147.5,147.97,145.62,146.59,3085300,111.49
112,6/12/2000,Monday,112,146.97,146.97,144.88,144.88,3678900,110.18
113,6/13/2000,Tuesday,113,144.81,147.75,144.62,147.59,6558700,112.25
114,6/14/2000,Wednesday,114,148.25,148.88,147.19,147.84,6420500,112.44
115,6/15/2000,Thursday,115,148.12,148.75,146.84,148.16,5881200,112.68
116,6/16/2000,Friday,116,148.31,148.31,145.88,146.59,5567900,111.75
117,6/19/2000,Monday,117,146.47,149.16,146.25,148.47,5106900,113.18
118,6/20/2000,Tuesday,118,148.19,148.88,147,147.94,6480000,112.78
119,6/21/2000,Wednesday,119,146.94,148.44,146.89,147.88,3115000,112.73
120,6/22/2000,Thursday,120,147.56,147.69,145,145.62,7490500,111.01
121,6/23/2000,Friday,121,145.81,146.12,143.88,144.38,4863300,110.06
122,6/26/2000,Monday,122,145.38,146.25,144.88,146.23,5201300,111.48
123,6/27/2000,Tuesday,123,145.98,146.72,145.02,145.16,4159500,110.65
124,6/28/2000,Wednesday,124,145.62,146.98,145.31,145.56,5347700,110.96
125,6/29/2000,Thursday,125,144.75,145.75,143.52,144.19,6345700,109.92
126,6/30/2000,Friday,126,143.94,145.59,143.89,145.28,7420200,110.75
127,7/3/2000,Monday,127,145.44,147.44,145.19,147.28,1436600,112.27
128,7/5/2000,Wednesday,128,146.38,146.66,144.38,144.62,2748200,110.25
129,7/6/2000,Thursday,129,144.94,146.47,144.22,145.75,5963200,111.11
130,7/7/2000,Friday,130,146.69,148.78,146.25,148.09,3034800,112.89
131,7/10/2000,Monday,131,147.88,148.91,147.53,147.84,2816100,112.7
132,7/11/2000,Tuesday,132,147.47,149.12,147.16,148.16,5431600,112.94
133,7/12/2000,Wednesday,133,149.28,150.12,148.69,149.12,5883000,113.68
134,7/13/2000,Thursday,134,149.98,150.38,149.19,149.78,5356000,114.18
135,7/14/2000,Friday,135,150.44,151.25,149.67,151.25,5341900,115.3
136,7/17/2000,Monday,136,150.98,151.98,150.69,151,4208300,115.11
137,7/18/2000,Tuesday,137,150.62,150.62,149.34,149.77,4262100,114.17
138,7/19/2000,Wednesday,138,149.47,149.91,148.25,148.56,8506800,113.25
139,7/20/2000,Thursday,139,149,150.62,148.81,150.62,4538900,114.82
140,7/21/2000,Friday,140,149.75,149.75,147.69,147.69,5656900,112.58
141,7/24/2000,Monday,141,148.12,148.86,146.56,146.84,5628500,111.94
142,7/25/2000,Tuesday,142,147.75,147.84,146.78,147.31,4757100,112.3
143,7/26/2000,Wednesday,143,146.97,147.16,145.64,145.88,12062500,111.2
144,7/27/2000,Thursday,144,145.94,146.62,144.69,145.38,7652600,110.82
145,7/28/2000,Friday,145,145.72,145.91,141.52,142.09,6229500,108.32
146,7/31/2000,Monday,146,142.94,144.12,142.06,143,5265500,109.01
147,8/1/2000,Tuesday,147,143.62,144.72,143.12,143.88,3946600,109.68
148,8/2/2000,Wednesday,148,143.88,145.41,143.62,144.59,7439800,110.23
149,8/3/2000,Thursday,149,142.88,145.81,142.62,145.59,4607100,110.99
150,8/4/2000,Friday,150,146.31,146.72,145.41,146.38,3686600,111.58
151,8/7/2000,Monday,151,146.72,148.44,146.38,148.12,4159800,112.92
152,8/8/2000,Tuesday,152,147.5,148.81,147.5,148.69,3658700,113.35
153,8/9/2000,Wednesday,153,149.14,149.22,147.38,147.44,5383800,112.39
154,8/10/2000,Thursday,154,147.53,147.86,146.28,146.72,4193400,111.85
155,8/11/2000,Friday,155,146.62,148,145.56,147.41,5089400,112.37
156,8/14/2000,Monday,156,147.78,149.56,147.06,149.28,2966700,113.8
157,8/15/2000,Tuesday,157,149.34,149.81,148.56,149.16,5564600,113.7
158,8/16/2000,Wednesday,158,149.31,149.94,147.84,148.62,5191600,113.3
159,8/17/2000,Thursday,159,148.69,150.44,148.34,150.19,5652200,114.49
160,8/18/2000,Friday,160,150.38,150.38,149.22,149.69,4626400,114.11
161,8/21/2000,Monday,161,150.03,150.72,149.41,150.5,2380600,114.73
162,8/22/2000,Tuesday,162,150.56,151.31,150.09,150.25,3075300,114.54
163,8/23/2000,Wednesday,163,149.81,151.28,149.28,150.84,5483200,114.99
164,8/24/2000,Thursday,164,151.16,151.5,150.5,151.31,4529000,115.35
165,8/25/2000,Friday,165,151.16,151.62,150.94,151.25,2822200,115.3
166,8/28/2000,Monday,166,151.25,152.91,151.25,151.77,5518700,115.69
167,8/29/2000,Tuesday,167,151.44,151.88,150.91,151.8,3561900,115.72
168,8/30/2000,Wednesday,168,151.31,151.5,150.34,150.34,3964800,114.61
169,8/31/2000,Thursday,169,151.06,153.09,150.91,152.34,4863100,116.13
170,9/1/2000,Friday,170,153.25,153.59,152,152.5,3191200,116.25
171,9/5/2000,Tuesday,171,151.88,152.2,150.81,151.28,3470800,115.32
172,9/6/2000,Wednesday,172,151.19,151.95,149.53,149.56,4322200,114.01
173,9/7/2000,Thursday,173,150.25,151.08,149.83,150.84,4265500,114.99
174,9/8/2000,Friday,174,150.28,150.5,149.33,149.81,3518200,114.2
175,9/11/2000,Monday,175,149.75,151.19,148.69,149.59,3937500,114.04
176,9/12/2000,Tuesday,176,149.75,150.25,148.44,148.5,4769100,113.2
177,9/13/2000,Wednesday,177,148,149.34,147.66,148.89,7691600,113.5
178,9/14/2000,Thursday,178,149.88,149.94,148.16,149.64,3397100,114.07
179,9/15/2000,Friday,179,148.19,148.25,146,146,4085700,111.58
180,9/18/2000,Monday,180,146.38,146.97,144.2,144.66,5109300,110.55
181,9/19/2000,Tuesday,181,145.12,146.31,144.7,145.97,6588200,111.55
182,9/20/2000,Wednesday,182,145.69,146.03,143.16,144.89,6508100,110.73
183,9/21/2000,Thursday,183,144.47,145.56,142.62,142.69,5972300,109.05
184,9/22/2000,Friday,184,142.62,145.31,142.42,145.28,7791300,111.03
185,9/25/2000,Monday,185,145.94,146.06,143.72,144.25,9726300,110.24
186,9/26/2000,Tuesday,186,144.38,145,142.41,142.41,5302400,108.83
187,9/27/2000,Wednesday,187,143.56,143.97,142.12,143.16,7186200,109.4
188,9/28/2000,Thursday,188,143.19,146.33,142.89,145,7036400,110.81
189,9/29/2000,Friday,189,145.47,145.97,143.62,143.62,9333600,109.76
190,10/2/2000,Monday,190,144.28,144.91,143.14,143.84,5517800,109.93
191,10/3/2000,Tuesday,191,144.53,145.75,142.28,142.5,9347200,108.9
192,10/4/2000,Wednesday,192,142.88,144.25,141.75,143.69,6148900,109.81
193,10/5/2000,Thursday,193,143.41,144.84,143.31,144.19,4566900,110.19
194,10/6/2000,Friday,194,143.88,144.64,139.75,141.06,10014900,107.8
195,10/9/2000,Monday,195,141.31,141.31,139.38,140,4508000,106.99
196,10/10/2000,Tuesday,196,140.09,141.25,137.69,137.69,6104700,105.23
197,10/11/2000,Wednesday,197,137.62,138.62,135.12,136.53,10346000,104.34
198,10/12/2000,Thursday,198,137.28,137.59,132.78,133.12,12336900,101.74
199,10/13/2000,Friday,199,132.94,137.66,132.88,137.56,11778800,105.13
200,10/16/2000,Monday,200,137.41,138.23,136.69,138.19,5659000,105.61
201,10/17/2000,Tuesday,201,138.44,138.56,134.41,134.75,7831700,102.98
202,10/18/2000,Wednesday,202,132.62,136.12,130.16,134.25,10897300,102.6
203,10/19/2000,Thursday,203,136.84,139.45,136.44,139.31,8767300,106.47
204,10/20/2000,Friday,204,138.38,141.19,138.38,139.91,7373500,106.92
205,10/23/2000,Monday,205,139.94,141.03,138.94,140.53,5290000,107.4
206,10/24/2000,Tuesday,206,140.97,141.94,139,139.59,5750700,106.68
207,10/25/2000,Wednesday,207,138.75,139.56,136.12,136.31,9137600,104.17
208,10/26/2000,Thursday,208,137.12,137.66,134.03,136.69,9345800,104.46
209,10/27/2000,Friday,209,137.88,139.28,136.62,139.28,9762900,106.44
210,10/30/2000,Monday,210,138.44,141.09,138.16,140.53,10154100,107.4
211,10/31/2000,Tuesday,211,141.02,143.69,140.06,142.95,7752400,109.25
212,11/1/2000,Wednesday,212,142.25,143.25,141.22,142.47,6753600,108.88
213,11/2/2000,Thursday,213,143.16,143.91,142.52,142.7,11395100,109.06
214,11/3/2000,Friday,214,143.47,143.75,142.38,142.78,5187100,109.12
215,11/6/2000,Monday,215,143.16,144.3,143.03,143.78,4042500,109.88
216,11/7/2000,Tuesday,216,143.14,144,142.56,143.75,5231300,109.86
217,11/8/2000,Wednesday,217,144.06,144.06,140.56,140.56,6123300,107.42
218,11/9/2000,Thursday,218,140,141.22,137.25,140.03,10635300,107.02
219,11/10/2000,Friday,219,139,139.47,136.53,136.62,8569500,104.41
220,11/13/2000,Monday,220,135.62,136.98,133.02,135.56,17285300,103.6
221,11/14/2000,Tuesday,221,137.47,139.62,137,139.12,7668900,106.32
222,11/15/2000,Wednesday,222,139.06,140.11,137.75,139.56,8837700,106.66
223,11/16/2000,Thursday,223,138.58,139.88,137.31,137.38,6684100,104.99
224,11/17/2000,Friday,224,137.31,139,135.75,136.64,6551100,104.42
225,11/20/2000,Monday,225,135.75,136.38,134.31,134.69,5458500,102.93
226,11/21/2000,Tuesday,226,134.88,136.19,133.52,135.38,7684300,103.46
227,11/22/2000,Wednesday,227,134.34,134.88,132.12,132.14,5736900,100.99
228,11/24/2000,Friday,228,133.62,134.97,133.62,134.84,3411600,103.05
229,11/27/2000,Monday,229,136.47,136.69,135.31,136.03,5992000,103.96
230,11/28/2000,Tuesday,230,135.12,136.59,133.64,133.69,5336100,102.17
231,11/29/2000,Wednesday,231,134.38,135.91,133.27,133.44,6914100,101.98
232,11/30/2000,Thursday,232,132.5,133.5,129.75,132.28,11201600,101.09
233,12/1/2000,Friday,233,133.19,134.06,131,132.22,7587200,101.05
234,12/4/2000,Monday,234,131.88,133.88,131.5,133.34,6996600,101.91
235,12/5/2000,Tuesday,235,134.88,138.25,134.41,137.72,8883400,105.25
236,12/6/2000,Wednesday,236,137.78,138.34,135.03,135.52,12888000,103.57
237,12/7/2000,Thursday,237,134.88,135.88,133.66,133.66,6529100,102.14
238,12/8/2000,Friday,238,137.06,139.47,133.88,133.97,10276300,102.38
239,12/11/2000,Monday,239,137.38,139.56,136.72,138.62,6405600,105.94
240,12/12/2000,Tuesday,240,138.19,138.81,137.38,138.03,5022900,105.49
241,12/13/2000,Wednesday,241,139.25,139.41,136.03,136.14,6070500,104.04
242,12/14/2000,Thursday,242,135.88,136.5,134.03,134.41,7678400,102.72
243,12/15/2000,Friday,243,133.12,133.12,130.56,130.97,9065300,100.4
244,12/18/2000,Monday,244,132.06,133.47,131.77,132.72,7235400,101.74
245,12/19/2000,Tuesday,245,132.47,134.97,130.02,130.02,9616600,99.67
246,12/20/2000,Wednesday,246,128.62,128.94,126.09,126.25,9994300,96.78
247,12/21/2000,Thursday,247,126,128.86,125.53,127.12,14331500,97.45
248,12/22/2000,Friday,248,129,131.11,128.84,130.94,10182900,100.37
249,12/26/2000,Tuesday,249,130.84,132.34,130.28,132.34,4665300,101.45
250,12/27/2000,Wednesday,250,131.75,133.73,131.25,133.31,4854100,102.19
251,12/28/2000,Thursday,251,132.81,133.88,132.59,133.72,8358700,102.51
252,12/29/2000,Friday,252,134.06,134.28,131.19,131.19,8774600,100.57
253,1/2/2001,Tuesday,1,132,132.16,127.56,128.81,8737500,98.74
254,1/3/2001,Wednesday,2,128.31,136,127.66,135,19431600,103.49
255,1/4/2001,Thursday,3,134.94,135.47,133,133.55,9219000,102.37
256,1/5/2001,Friday,4,133.47,133.62,129.19,129.19,12911400,99.03
257,1/8/2001,Monday,5,129.88,130.19,127.69,130.19,6625300,99.8
258,1/9/2001,Tuesday,6,131.05,131.5,129.42,129.84,5702400,99.53
259,1/10/2001,Wednesday,7,129,132.12,128.81,132.12,8746100,101.28
260,1/11/2001,Thursday,8,131.09,133.48,131.09,132.25,7245100,101.38
261,1/12/2001,Friday,9,132.69,133.72,131.28,132,7244000,101.19
262,1/16/2001,Tuesday,10,132,133.19,131.52,132.84,8542200,101.83
263,1/17/2001,Wednesday,11,134.84,135.05,132.64,133.45,7851400,102.3
264,1/18/2001,Thursday,12,133.44,135.7,132.94,134.78,8107000,103.32
265,1/19/2001,Friday,13,136.19,136.19,133.88,134.02,7782500,102.73
266,1/22/2001,Monday,14,134.25,135.78,133.56,134.91,7050900,103.42
267,1/23/2001,Tuesday,15,134.47,136.66,134.16,135.97,8463100,104.23
268,1/24/2001,Wednesday,16,136.25,137.31,135.84,136.38,6199900,104.54
269,1/25/2001,Thursday,17,136.25,137.25,135.66,136.03,10818300,104.28
270,1/26/2001,Friday,18,135.16,136.12,134.45,135.88,7136800,104.16
271,1/29/2001,Monday,19,135.5,136.9,135.37,136.6,6705900,104.71
272,1/30/2001,Tuesday,20,136.3,137.92,135.79,137.8,7069100,105.63
273,1/31/2001,Wednesday,21,137.4,138.7,136.6,137.02,9706900,105.04
274,2/1/2001,Thursday,22,137.1,137.95,136.25,137.93,8239100,105.73
275,2/2/2001,Friday,23,137.4,137.99,134.75,134.8,8276600,103.33
276,2/5/2001,Monday,24,134.8,135.94,134.75,135.79,4352900,104.09
277,2/6/2001,Tuesday,25,135.3,136.7,135.22,135.39,7106700,103.79
278,2/7/2001,Wednesday,26,134.72,135.4,133.68,134.69,5748700,103.25
279,2/8/2001,Thursday,27,134.8,135.4,133.1,133.12,5943300,102.05
280,2/9/2001,Friday,28,133.35,133.35,131.26,131.84,9913000,101.07
281,2/12/2001,Monday,29,131.7,133.5,131.7,133.35,5804400,102.22
282,2/13/2001,Tuesday,30,133.7,134.17,132,132.26,6587600,101.39
283,2/14/2001,Wednesday,31,132.65,132.65,130.66,132.06,8400100,101.23
284,2/15/2001,Thursday,32,132.84,133.52,131.99,133.34,5929800,102.22
285,2/16/2001,Friday,33,131,131.29,129.3,130.4,6434900,99.96
286,2/20/2001,Tuesday,34,131.04,131.14,128.1,128.39,5760000,98.42
287,2/21/2001,Wednesday,35,127.9,128.84,125.5,125.62,10910800,96.3
288,2/22/2001,Thursday,36,126.35,126.54,123.02,125.81,21281600,96.44
289,2/23/2001,Friday,37,125.08,125.54,121.8,124.96,20173000,95.79
290,2/26/2001,Monday,38,125.8,127.62,124.5,127.62,11503700,97.83
291,2/27/2001,Tuesday,39,126.8,127.84,125.51,126.44,11415000,96.93
292,2/28/2001,Wednesday,40,126.75,126.84,123.27,123.95,14825800,95.02
293,3/1/2001,Thursday,41,124.05,124.6,121.75,124.6,14672000,95.52
294,3/2/2001,Friday,42,122.5,125.65,122.3,123.61,12564300,94.76
295,3/5/2001,Monday,43,124.15,124.78,123.81,124.74,5293200,95.62
296,3/6/2001,Tuesday,44,126.35,127.75,125.49,126.08,6917000,96.65
297,3/7/2001,Wednesday,45,126.9,127.04,125.76,126.98,6371700,97.34
298,3/8/2001,Thursday,46,126.6,127.24,126.14,127.12,6055000,97.45
299,3/9/2001,Friday,47,126.1,126.1,123.11,123.36,10020300,94.56
300,3/12/2001,Monday,48,122.34,122.5,117.75,118.08,13972900,90.52
301,3/13/2001,Tuesday,49,119.4,120.44,117.53,120.02,12888000,92
302,3/14/2001,Wednesday,50,117.05,119.29,115.75,117.65,19883400,90.19
303,3/15/2001,Thursday,51,118.45,118.86,117.36,117.68,10370300,90.21
304,3/16/2001,Friday,52,117.13,117.4,114.81,115.01,58514600,88.4
305,3/19/2001,Monday,53,115.76,117.69,114.82,117.35,10067800,90.2
306,3/20/2001,Tuesday,54,117.9,118.46,114.11,114.2,15083900,87.78
307,3/21/2001,Wednesday,55,114.18,115.26,111.9,112.26,19004600,86.29
308,3/22/2001,Thursday,56,112.02,112.6,108.04,111.12,28624800,85.41
309,3/23/2001,Friday,57,113.25,114.66,111.5,114.48,12861700,87.99
310,3/26/2001,Monday,58,115.7,116.27,114.77,115.94,9943800,89.12
311,3/27/2001,Tuesday,59,115.62,118.65,115.28,118.31,12880700,90.94
312,3/28/2001,Wednesday,60,116.9,116.95,114.9,115.04,10953300,88.42
313,3/29/2001,Thursday,61,114.7,116.5,112.14,115.48,12060300,88.76
314,3/30/2001,Friday,62,115.55,116.69,114.5,116.69,9183600,89.69
315,4/2/2001,Monday,63,116.3,117.38,113.8,114.2,10561000,87.78
316,4/3/2001,Tuesday,64,113.98,114.15,110.06,110.39,12836000,84.85
317,4/4/2001,Wednesday,65,110.57,112.1,109.3,110.85,14884300,85.2
318,4/5/2001,Thursday,66,113.3,115.49,112.5,115.05,21522800,88.43
319,4/6/2001,Friday,67,113.99,114.4,112.06,113.3,14937800,87.09
320,4/9/2001,Monday,68,114,114.99,112.78,114.56,9034300,88.06
321,4/10/2001,Tuesday,69,115.45,117.75,115.17,116.65,17873600,89.66
322,4/11/2001,Wednesday,70,118.78,118.99,116.14,116.73,12722300,89.72
323,4/12/2001,Thursday,71,116.3,118.94,115.96,118.85,9233200,91.35
324,4/16/2001,Monday,72,118.29,118.89,116.91,117.6,7350000,90.39
325,4/17/2001,Tuesday,73,117.31,119.66,117.02,119.26,10924700,91.67
326,4/18/2001,Wednesday,74,121.06,126,120.69,124,32481600,95.31
327,4/19/2001,Thursday,75,124.25,125.84,123.58,125.65,13809900,96.58
328,4/20/2001,Friday,76,124.9,125.4,123.66,124.5,7626700,95.7
329,4/23/2001,Monday,77,123.65,123.89,121.91,122.24,8451800,93.96
330,4/24/2001,Tuesday,78,122.52,123.65,121.1,121.58,10044700,93.45
331,4/25/2001,Wednesday,79,121.42,123.67,120.95,123.17,8249000,94.67
332,4/26/2001,Thursday,80,123.73,125.22,123.5,123.72,10590400,95.1
333,4/27/2001,Friday,81,124.92,125.84,124.2,125.78,7938700,96.68
334,4/30/2001,Monday,82,126.45,127.27,124.67,126.66,10766900,97.36
335,5/1/2001,Tuesday,83,125.07,127.15,124.6,127.05,10578000,97.66
336,5/2/2001,Wednesday,84,127.41,127.69,126,126.82,9572900,97.48
337,5/3/2001,Thursday,85,126.13,126.15,124.22,125.21,9926200,96.24
338,5/4/2001,Friday,86,123.65,127.35,123.44,127.34,12145300,97.88
339,5/7/2001,Monday,87,126.86,127.38,126.23,126.24,7185200,97.03
340,5/8/2001,Tuesday,88,126.86,127.1,125.56,126.18,6952600,96.99
341,5/9/2001,Wednesday,89,125.25,126.55,125.06,125.65,9507400,96.58
342,5/10/2001,Thursday,90,127.26,127.5,125.77,126.02,6872400,96.86
343,5/11/2001,Friday,91,126,126.49,124.4,125.15,7734400,96.2
344,5/14/2001,Monday,92,124.9,125.44,124.46,125.4,7914000,96.39
345,5/15/2001,Tuesday,93,125.55,126.5,124.85,125.98,9782200,96.83
346,5/16/2001,Wednesday,94,124.84,129.2,124.62,128.95,14909000,99.12
347,5/17/2001,Thursday,95,129,130.08,128.56,129.15,11824600,99.27
348,5/18/2001,Friday,96,129.09,129.74,128.1,129.74,6683100,99.72
349,5/21/2001,Monday,97,129.84,131.84,129.15,131.65,11531500,101.19
350,5/22/2001,Tuesday,98,131.83,132.09,131.07,131.48,8342700,101.06
