"Date","Mean daily flow, Oldman Rivernear Brocket, Jan 01, 1988 to Dec 31, 1991"
"1989-04-06",11
"1989-04-07",12.6
"1989-04-08",15.4
"1989-04-09",12.1
"1989-04-10",10.6
"1989-04-11",10.7
"1989-04-12",12
"1989-04-13",14
"1989-04-14",16
"1989-04-15",20
"1989-04-16",28.3
"1989-04-17",25
"1989-04-18",27.3
"1989-04-19",31.2
"1989-04-20",42.6
"1989-04-21",65.6
"1989-04-22",87.8
"1989-04-23",88.2
"1989-04-24",71.8
"1989-04-25",60
"1989-04-26",53.6
"1989-04-27",47.6
"1989-04-28",42.4
"1989-04-29",39.1
"1989-04-30",41.8
"1989-05-01",52.9
"1989-05-02",74.9
"1989-05-03",88.8
"1989-05-04",92.1
"1989-05-05",102
"1989-05-06",124
"1989-05-07",162
"1989-05-08",181
"1989-05-09",168
"1989-05-10",169
"1989-05-11",173
"1989-05-12",148
"1989-05-13",124
"1989-05-14",106
"1989-05-15",95
"1989-05-16",92.5
"1989-05-17",95.3
"1989-05-18",95.5
"1989-05-19",89.2
"1989-05-20",80.5
"1989-05-21",74
"1989-05-22",70.7
"1989-05-23",73.8
"1989-05-24",80
"1989-05-25",75.2
"1989-05-26",74.1
"1989-05-27",70.1
"1989-05-28",73
"1989-05-29",66.2
"1989-05-30",69.8
"1989-05-31",80.8
"1989-06-01",110
"1989-06-02",139
"1989-06-03",157
"1989-06-04",154
"1989-06-05",148
"1989-06-06",161
"1989-06-07",170
"1989-06-08",163
"1989-06-09",155
"1989-06-10",157
"1989-06-11",170
"1989-06-12",158
"1989-06-13",146
"1989-06-14",141
"1989-06-15",132
"1989-06-16",130
"1989-06-17",115
"1989-06-18",100
"1989-06-19",93.1
"1989-06-20",88.8
"1989-06-21",81.9
"1989-06-22",75
"1989-06-23",72.5
"1989-06-24",68.8
"1989-06-25",75.6
"1989-06-26",73
"1989-06-27",67.5
"1989-06-28",63.4
"1989-06-29",59.6
"1989-06-30",57.2
"1989-07-01",55.1
"1989-07-02",52
"1989-07-03",47.9
"1989-07-04",44.2
"1989-07-05",41.6
"1989-07-06",39.3
"1989-07-07",37
"1989-07-08",34.8
"1989-07-09",33.7
"1989-07-10",36.3
"1989-07-11",42.1
"1989-07-12",35
"1989-07-13",37.4
"1989-07-14",62.2
"1989-07-15",53.9
"1989-07-16",56
"1989-07-17",50.3
"1989-07-18",44.6
"1989-07-19",39.6
"1989-07-20",36.9
"1989-07-21",34.4
"1989-07-22",31.5
"1989-07-23",29.7
"1989-07-24",28
"1989-07-25",26.2
"1989-07-26",24.9
"1989-07-27",24.1
"1989-07-28",23.3
"1989-07-29",22.1
"1989-07-30",21.2
"1989-07-31",20.5
"1989-08-01",20.1
"1989-08-02",20.5
"1989-08-03",19.6
"1989-08-04",18.9
"1989-08-05",18.2
"1989-08-06",17.7
"1989-08-07",17.3
"1989-08-08",17.5
"1989-08-09",17.4
"1989-08-10",16.9
"1989-08-11",15.9
"1989-08-12",15.1
"1989-08-13",14.6
"1989-08-14",15.3
"1989-08-15",15
"1989-08-16",14.1
"1989-08-17",13.5
"1989-08-18",13.3
"1989-08-19",13.1
"1989-08-20",12.7
"1989-08-21",12.4
"1989-08-22",12.1
"1989-08-23",11.9
"1989-08-24",12.8
"1989-08-25",16.8
"1989-08-26",19.2
"1989-08-27",22.4
"1989-08-28",26
"1989-08-29",26
"1989-08-30",24.4
"1989-08-31",23
"1989-09-01",21.8
"1989-09-02",24.2
"1989-09-03",26.9
"1989-09-04",26.1
"1989-09-05",26.3
"1989-09-06",28.8
"1989-09-07",27.4
"1989-09-08",26.6
"1989-09-09",26.1
"1989-09-10",26.3
"1989-09-11",25.7
"1989-09-12",25
"1989-09-13",23.8
"1989-09-14",22.8
"1989-09-15",21.8
"1989-09-16",20.8
"1989-09-17",20.2
"1989-09-18",20.7
"1989-09-19",20
"1989-09-20",19.2
"1989-09-21",18.3
"1989-09-22",17.6
"1989-09-23",16.8
"1989-09-24",16.3
"1989-09-25",15.8
"1989-09-26",15.4
"1989-09-27",14.9
"1989-09-28",14.5
"1989-09-29",14.1
"1989-09-30",13.9
"1989-10-01",14.3
"1989-10-02",14.4
"1989-10-03",13.7
"1989-10-04",13.2
"1989-10-05",13.2
"1989-10-06",13.4
"1989-10-07",13.2
"1989-10-08",12.9
"1989-10-09",12.5
"1989-10-10",12.3
"1989-10-11",12.8
"1989-10-12",13.3
"1989-10-13",14.9
"1989-10-14",18
"1989-10-15",19.2
"1989-10-16",16.7
"1989-10-17",15.5
"1989-10-18",14.3
"1989-10-19",14.8
"1989-10-20",14.4
"1989-10-21",17.7
"1989-10-22",24.3
"1989-10-23",23.7
"1989-10-24",22.8
"1989-10-25",22.4
"1989-10-26",21.4
"1989-10-27",20.6
"1989-10-28",20.5
"1989-10-29",19.2
"1989-10-30",17.5
"1989-10-31",18.2
"1989-11-01",16.2
"1989-11-02",14.9
"1989-11-03",17.1
"1989-11-04",17.5
"1989-11-05",17.7
"1989-11-06",15.9
"1989-11-07",16.1
"1989-11-08",14.9
"1989-11-09",15
"1989-11-10",19.3
"1989-11-11",81.7
"1989-11-12",82.9
"1989-11-13",65
"1989-11-14",51.8
"1989-11-15",41.5
"1989-11-16",37.5
"1989-11-17",37.8
"1989-11-18",34.6
"1989-11-19",34.3
"1989-11-20",36.5
"1989-11-21",38.1
"1989-11-22",35.1
"1989-11-23",30.2
"1989-11-24",32
"1989-11-25",30.4
"1989-11-26",26.6
"1989-11-27",22.3
"1989-11-28",22.1
"1989-11-29",25.4
"1989-11-30",23.2
"1989-12-01",22
"1989-12-02",22.4
"1989-12-03",24.7
"1989-12-04",24.5
"1989-12-05",27.5
"1989-12-06",25.8
"1989-12-07",23.1
"1989-12-08",22.7
"1989-12-09",23.6
"1989-12-10",17.4
"1989-12-11",6.24
"1989-12-12",7.4
"1989-12-13",9.47
"1989-12-14",9.3
"1989-12-15",8.8
"1989-12-16",8.3
"1989-12-17",7.8
"1989-12-18",7.55
"1989-12-19",7.1
"1989-12-20",6.8
"1989-12-21",6.6
"1989-12-22",12.5
"1989-12-23",23
"1989-12-24",50
"1989-12-25",40
"1989-12-26",32
"1989-12-27",25.5
"1989-12-28",20
"1989-12-29",16
"1989-12-30",14.2
"1989-12-31",14.3
"1990-01-01",14.6
"1990-01-02",15.1
"1990-01-03",15.5
"1990-01-04",15.7
"1990-01-05",15.8
"1990-01-06",15.9
"1990-01-07",16
"1990-01-08",15.9
"1990-01-09",15.7
"1990-01-10",14.9
"1990-01-11",14.4
"1990-01-12",14.3
"1990-01-13",14.4
"1990-01-14",14.3
"1990-01-15",13.8
"1990-01-16",12.9
"1990-01-17",12.2
"1990-01-18",11.8
"1990-01-19",11.7
"1990-01-20",11.6
"1990-01-21",11.8
"1990-01-22",12.1
"1990-01-23",12.2
"1990-01-24",11.8
"1990-01-25",11.4
"1990-01-26",11.1
"1990-01-27",10.6
"1990-01-28",10.3
"1990-01-29",10
"1990-01-30",9.75
"1990-01-31",9.5
"1990-02-01",9.45
"1990-02-02",9.5
"1990-02-03",9.6
"1990-02-04",9.62
"1990-02-05",9.55
"1990-02-06",9.5
"1990-02-07",9.65
"1990-02-08",9.9
"1990-02-09",10
"1990-02-10",9.9
"1990-02-11",9.65
"1990-02-12",9.55
"1990-02-13",9.49
"1990-02-14",9.4
"1990-02-15",9.35
"1990-02-16",9.3
"1990-02-17",9.25
"1990-02-18",9.2
"1990-02-19",9.15
"1990-02-20",9.6
"1990-02-21",10.2
"1990-02-22",10.8
"1990-02-23",11.1
"1990-02-24",12.2
"1990-02-25",13
"1990-02-26",12
"1990-02-27",10.9
"1990-02-28",10.5
"1990-03-01",10.4
"1990-03-02",10.6
"1990-03-03",10.8
"1990-03-04",11
"1990-03-05",11.3
"1990-03-06",11.7
"1990-03-07",11.8
"1990-03-08",12
"1990-03-09",10.5
"1990-03-10",10.1
"1990-03-11",9.48
"1990-03-12",9.26
"1990-03-13",9.2
"1990-03-14",9.25
"1990-03-15",9.35
"1990-03-16",9.45
"1990-03-17",9.75
"1990-03-18",10
"1990-03-19",10.3
"1990-03-20",10.4
"1990-03-21",10.3
"1990-03-22",10
"1990-03-23",9.9
"1990-03-24",10
"1990-03-25",10.5
"1990-03-26",11.4
"1990-03-27",10.9
"1990-03-28",10.9
"1990-03-29",11.2
"1990-03-30",13.2
"1990-03-31",16.2
"1990-04-01",19.2
"1990-04-02",21.5
"1990-04-03",30
"1990-04-04",33.5
"1990-04-05",31.4
"1990-04-06",30
"1990-04-07",29.9
"1990-04-08",31.3
"1990-04-09",30.7
"1990-04-10",25.2
"1990-04-11",26.2
"1990-04-12",27.6
"1990-04-13",27.4
"1990-04-14",28.4
"1990-04-15",32.2
"1990-04-16",36.7
"1990-04-17",38.1
"1990-04-18",42.6
"1990-04-19",56.8
"1990-04-20",75.2
"1990-04-21",90.1
"1990-04-22",103
"1990-04-23",108
"1990-04-24",107
"1990-04-25",101
"1990-04-26",91.8
"1990-04-27",83.1
"1990-04-28",79.1
"1990-04-29",68.7
"1990-04-30",63.1
"1990-05-01",64.5
"1990-05-02",69.6
"1990-05-03",75.6
"1990-05-04",88.3
"1990-05-05",110
"1990-05-06",167
"1990-05-07",183
"1990-05-08",154
"1990-05-09",128
"1990-05-10",116
"1990-05-11",105
"1990-05-12",100
"1990-05-13",97.1
"1990-05-14",94.6
"1990-05-15",91.9
"1990-05-16",89.3
"1990-05-17",88.1
"1990-05-18",92.6
"1990-05-19",101
"1990-05-20",107
"1990-05-21",106
"1990-05-22",104
"1990-05-23",109
"1990-05-24",147
"1990-05-25",355
"1990-05-26",418
"1990-05-27",337
"1990-05-28",277
"1990-05-29",338
"1990-05-30",391
"1990-05-31",359
"1990-06-01",324
"1990-06-02",288
"1990-06-03",264
"1990-06-04",245
"1990-06-05",228
"1990-06-06",205
"1990-06-07",190
"1990-06-08",183
"1990-06-09",172
"1990-06-10",171
"1990-06-11",183
"1990-06-12",179
"1990-06-13",159
"1990-06-14",149
"1990-06-15",138
"1990-06-16",127
"1990-06-17",121
"1990-06-18",120
"1990-06-19",120
"1990-06-20",122
"1990-06-21",129
"1990-06-22",133
"1990-06-23",133
"1990-06-24",136
"1990-06-25",139
"1990-06-26",139
"1990-06-27",136
"1990-06-28",114
"1990-06-29",114
"1990-06-30",107
"1990-07-01",105
"1990-07-02",101
"1990-07-03",95.5
"1990-07-04",87.7
"1990-07-05",80
"1990-07-06",74.7
"1990-07-07",72.1
"1990-07-08",71.9
"1990-07-09",65.7
"1990-07-10",62.6
"1990-07-11",60.1
"1990-07-12",58.7
"1990-07-13",57.1
"1990-07-14",55.4
"1990-07-15",52.8
"1990-07-16",48.9
"1990-07-17",45.7
"1990-07-18",42.7
"1990-07-19",44.8
"1990-07-20",44.9
"1990-07-21",40.5
"1990-07-22",36.7
"1990-07-23",34.2
"1990-07-24",38.1
"1990-07-25",56.1
"1990-07-26",105
"1990-07-27",97.3
"1990-07-28",87.4
"1990-07-29",78.9
"1990-07-30",71.4
"1990-07-31",64.1
"1990-08-01",59.3
"1990-08-02",56.7
"1990-08-03",54.8
"1990-08-04",48.9
"1990-08-05",44.6
"1990-08-06",41
"1990-08-07",37.4
"1990-08-08",34.8
"1990-08-09",32.9
"1990-08-10",30.9
"1990-08-11",29.2
"1990-08-12",28.4
"1990-08-13",27.5
"1990-08-14",26.1
"1990-08-15",24.6
"1990-08-16",24.3
"1990-08-17",23.6
"1990-08-18",25.4
"1990-08-19",25.6
"1990-08-20",27.2
"1990-08-21",26
"1990-08-22",22.9
"1990-08-23",20.9
"1990-08-24",21.8
"1990-08-25",22.9
"1990-08-26",24.4
"1990-08-27",22.3
"1990-08-28",19.7
"1990-08-29",18
"1990-08-30",17.5
"1990-08-31",17.3
"1990-09-01",17.1
"1990-09-02",17
"1990-09-03",16.8
"1990-09-04",16.3
"1990-09-05",15.8
"1990-09-06",15.3
"1990-09-07",14.6
"1990-09-08",14.2
"1990-09-09",14.1
"1990-09-10",13.8
"1990-09-11",13.5
"1990-09-12",13.2
"1990-09-13",13.9
"1990-09-14",14.1
"1990-09-15",13.1
"1990-09-16",12.7
"1990-09-17",12.5
"1990-09-18",12.3
"1990-09-19",12
"1990-09-20",12
"1990-09-21",11.8
"1990-09-22",11.6
"1990-09-23",11.4
"1990-09-24",11.1
"1990-09-25",10.8
"1990-09-26",10.7
"1990-09-27",10.8
"1990-09-28",10.8
"1990-09-29",10.8
"1990-09-30",10.8
"1990-10-01",10.6
"1990-10-02",10.8
"1990-10-03",11.1
"1990-10-04",11
"1990-10-05",26.8
"1990-10-06",32.3
"1990-10-07",22.2
"1990-10-08",19.1
"1990-10-09",18
"1990-10-10",18.7
"1990-10-11",19.9
"1990-10-12",18.1
"1990-10-13",17.6
"1990-10-14",17.1
"1990-10-15",16.4
"1990-10-16",16.3
"1990-10-17",15.8
"1990-10-18",15.2
"1990-10-19",15.5
"1990-10-20",14.9
"1990-10-21",14.3
"1990-10-22",14.9
"1990-10-23",14.8
"1990-10-24",14.4
"1990-10-25",14.4
"1990-10-26",14.8
"1990-10-27",18.2
"1990-10-28",16.9
"1990-10-29",17.5
"1990-10-30",17.4
"1990-10-31",17.5
"1990-11-01",20
"1990-11-02",19.9
"1990-11-03",18
"1990-11-04",17
"1990-11-05",18.4
"1990-11-06",15
"1990-11-07",13.9
"1990-11-08",17.5
"1990-11-09",18.1
"1990-11-10",25.9
"1990-11-11",67.2
"1990-11-12",70.3
"1990-11-13",57.3
"1990-11-14",51.4
"1990-11-15",43.7
"1990-11-16",37.1
"1990-11-17",34.1
"1990-11-18",30.9
"1990-11-19",26.7
"1990-11-20",24.5
"1990-11-21",22
"1990-11-22",22.3
"1990-11-23",25.5
"1990-11-24",21.5
"1990-11-25",17.5
"1990-11-26",15
"1990-11-27",16.2
"1990-11-28",16.5
"1990-11-29",17.4
"1990-11-30",16.5
"1990-12-01",15.8
"1990-12-02",13.1
"1990-12-03",11.6
"1990-12-04",15.8
"1990-12-05",15.5
"1990-12-06",14.8
"1990-12-07",15.5
"1990-12-08",15.6
"1990-12-09",16
"1990-12-10",16.4
"1990-12-11",15.3
"1990-12-12",13.5
"1990-12-13",9.63
"1990-12-14",8.68
"1990-12-15",11.9
"1990-12-16",11.7
"1990-12-17",12.2
"1990-12-18",12.4
"1990-12-19",8.82
"1990-12-20",5.25
"1990-12-21",5
"1990-12-22",4.8
"1990-12-23",4.9
"1990-12-24",5
"1990-12-25",5.2
"1990-12-26",5.4
"1990-12-27",5.3
"1990-12-28",5.25
"1990-12-29",5.2
"1990-12-30",5.2
"1990-12-31",5.5
"1991-01-01",5.4
"1991-01-02",6
"1991-01-03",6.6
"1991-01-04",7
"1991-01-05",7.5
"1991-01-06",8
"1991-01-07",8.6
"1991-01-08",9.2
"1991-01-09",9.4
"1991-01-10",9.7
"1991-01-11",10.2
"1991-01-12",10.4
"1991-01-13",11.1
"1991-01-14",11.8
"1991-01-15",12.3
"1991-01-16",12.7
"1991-01-17",13
"1991-01-18",12.9
"1991-01-19",12.4
"1991-01-20",11.7
"1991-01-21",10
"1991-01-22",9.7
"1991-01-23",9.5
"1991-01-24",9.4
"1991-01-25",9.4
"1991-01-26",9.3
"1991-01-27",9.2
"1991-01-28",9
"1991-01-29",8.7
"1991-01-30",8.6
"1991-01-31",8.9
"1991-02-01",9.5
"1991-02-02",11.5
"1991-02-03",13.6
"1991-02-04",14
"1991-02-05",14
"1991-02-06",13.9
"1991-02-07",13.7
"1991-02-08",13.6
"1991-02-09",13.4
"1991-02-10",13.4
"1991-02-11",13.5
"1991-02-12",13.9
"1991-02-13",14.6
"1991-02-14",15.1
"1991-02-15",15.1
"1991-02-16",15.1
"1991-02-17",14.9
"1991-02-18",14.8
"1991-02-19",14.7
"1991-02-20",14.4
"1991-02-21",13.6
"1991-02-22",12.5
"1991-02-23",11.5
"1991-02-24",10.8
"1991-02-25",10.8
"1991-02-26",10.8
"1991-02-27",10.8
"1991-02-28",10
"1991-03-01",7.39
"1991-03-02",6.07
"1991-03-03",9.32
"1991-03-04",12.5
"1991-03-05",11.8
"1991-03-06",12.2
"1991-03-07",12.2
"1991-03-08",12.3
"1991-03-09",12.3
"1991-03-10",12.3
"1991-03-11",12
"1991-03-12",11.7
"1991-03-13",11.5
"1991-03-14",11.6
"1991-03-15",11.2
"1991-03-16",11
"1991-03-17",11.1
"1991-03-18",11.3
"1991-03-19",12.6
"1991-03-20",13.1
"1991-03-21",14
"1991-03-22",14.8
"1991-03-23",13.9
"1991-03-24",13.5
"1991-03-25",12
"1991-03-26",10.9
"1991-03-27",10.5
"1991-03-28",12
"1991-03-29",12.3
"1991-03-30",12.6
"1991-03-31",14.3
"1991-04-01",15.5
"1991-04-02",19.6
"1991-04-03",21.5
"1991-04-04",21.8
"1991-04-05",26.6
