"Time","CO2","Methane"
"1970-04-02 18:18:00",56.4,0.848
"1970-04-02 18:27:00",55.9,1.039
"1970-04-02 18:36:00",55.5,1.346
"1970-04-02 18:45:00",55.3,1.628
"1970-04-02 18:54:00",55.2,1.619
"1970-04-02 19:03:00",55.4,1.149
"1970-04-02 19:12:00",56,0.488
"1970-04-02 19:21:00",56.5,0.16
"1970-04-02 19:30:00",57.1,0.007
"1970-04-02 19:39:00",57.3,0.092
"1970-04-02 19:48:00",56.8,0.62
"1970-04-02 19:57:00",55.6,1.086
"1970-04-02 20:06:00",55,1.525
"1970-04-02 20:15:00",54.1,1.858
"1970-04-02 20:24:00",54.3,2.029
"1970-04-02 20:33:00",55.3,2.024
"1970-04-02 20:42:00",56.4,1.961
"1970-04-02 20:51:00",57.2,1.952
"1970-04-02 21:00:00",57.8,1.794
"1970-04-02 21:09:00",58.3,1.302
"1970-04-02 21:18:00",58.6,1.03
"1970-04-02 21:27:00",58.8,0.918
"1970-04-02 21:36:00",58.8,0.798
"1970-04-02 21:45:00",58.6,0.867
"1970-04-02 21:54:00",58,1.047
"1970-04-02 22:03:00",57.4,1.123
"1970-04-02 22:12:00",57,0.876
"1970-04-02 22:21:00",56.4,0.395
"1970-04-02 22:30:00",56.3,0.185
"1970-04-02 22:39:00",56.4,0.662
"1970-04-02 22:48:00",56.4,0.709
"1970-04-02 22:57:00",56,0.605
"1970-04-02 23:06:00",55.2,0.501
"1970-04-02 23:15:00",54,0.603
"1970-04-02 23:24:00",53,0.943
"1970-04-02 23:33:00",52,1.223
"1970-04-02 23:42:00",51.6,1.249
"1970-04-02 23:51:00",51.6,0.824
"1970-04-03 00:00:00",51.1,0.102
"1970-04-03 00:09:00",50.4,0.025
"1970-04-03 00:18:00",50,0.382
"1970-04-03 00:27:00",50,0.922
"1970-04-03 00:36:00",52,1.032
"1970-04-03 00:45:00",54,0.866
"1970-04-03 00:54:00",55.1,0.527
"1970-04-03 01:03:00",54.5,0.093
"1970-04-03 01:12:00",52.8,0.458
"1970-04-03 01:21:00",51.4,0.748
"1970-04-03 01:30:00",50.8,0.947
"1970-04-03 01:39:00",51.2,1.029
"1970-04-03 01:48:00",52,0.928
"1970-04-03 01:57:00",52.8,0.645
"1970-04-03 02:06:00",53.8,0.424
"1970-04-03 02:15:00",54.5,0.276
"1970-04-03 02:24:00",54.9,0.158
"1970-04-03 02:33:00",54.9,0.033
"1970-04-03 02:42:00",54.8,0.102
"1970-04-03 02:51:00",54.4,0.251
"1970-04-03 03:00:00",53.7,0.28
"1970-04-03 03:09:00",53.3,0
"1970-04-03 03:18:00",52.8,0.493
"1970-04-03 03:27:00",52.6,0.759
"1970-04-03 03:36:00",52.6,0.824
"1970-04-03 03:45:00",53,0.74
"1970-04-03 03:54:00",54.3,0.528
"1970-04-03 04:03:00",56,0.204
"1970-04-03 04:12:00",57,0.034
"1970-04-03 04:21:00",58,0.204
"1970-04-03 04:30:00",58.6,0.253
"1970-04-03 04:39:00",58.5,0.195
"1970-04-03 04:48:00",58.3,0.131
"1970-04-03 04:57:00",57.8,0.017
"1970-04-03 05:06:00",57.3,0.182
"1970-04-03 05:15:00",57,0.262
