"Date","Mean daily flow (cumecs), Jokulsa Eystri River, 1 Jan 1972 ? 31 Dec 1974"
"1972-07-01",63.4
"1972-07-02",63.4
"1972-07-03",65.5
"1972-07-04",58.3
"1972-07-05",58.3
"1972-07-06",60.9
"1972-07-07",66.6
"1972-07-08",74.8
"1972-07-09",73.7
"1972-07-10",70.2
"1972-07-11",65.5
"1972-07-12",61.7
"1972-07-13",61.7
"1972-07-14",67.8
"1972-07-15",60.0
"1972-07-16",62.6
"1972-07-17",61.7
"1972-07-18",61.7
"1972-07-19",63.4
"1972-07-20",60.9
"1972-07-21",60.0
"1972-07-22",58.3
"1972-07-23",54.9
"1972-07-24",53.3
"1972-07-25",63.4
"1972-07-26",64.3
"1972-07-27",77.4
"1972-07-28",85.8
"1972-07-29",67.8
"1972-07-30",57.4
"1972-07-31",54.1
"1972-08-01",52.5
"1972-08-02",51.7
"1972-08-03",46.2
"1972-08-04",43.2
"1972-08-05",41.0
"1972-08-06",39.6
"1972-08-07",37.0
"1972-08-08",36.4
"1972-08-09",35.7
"1972-08-10",35.7
"1972-08-11",36.4
"1972-08-12",38.9
"1972-08-13",53.3
"1972-08-14",58.3
"1972-08-15",57.4
"1972-08-16",50.1
"1972-08-17",45.4
"1972-08-18",41.0
"1972-08-19",41.0
"1972-08-20",40.2
"1972-08-21",37.6
"1972-08-22",46.2
"1972-08-23",45.4
"1972-08-24",45.4
"1972-08-25",39.6
"1972-08-26",40.2
"1972-08-27",46.2
"1972-08-28",47.7
"1972-08-29",59.1
"1972-08-30",58.3
"1972-08-31",48.5
"1972-09-01",56.6
"1972-09-02",56.6
"1972-09-03",44.7
"1972-09-04",50.9
"1972-09-05",58.3
"1972-09-06",44.7
"1972-09-07",38.9
"1972-09-08",36.4
"1972-09-09",34.4
"1972-09-10",34.4
"1972-09-11",34.4
"1972-09-12",34.4
"1972-09-13",34.4
"1972-09-14",41.7
"1972-09-15",47.7
"1972-09-16",44.0
"1972-09-17",38.3
"1972-09-18",39.6
"1972-09-19",37.0
"1972-09-20",37.6
"1972-09-21",38.9
"1972-09-22",36.4
"1972-09-23",37.6
"1972-09-24",44.0
"1972-09-25",41.0
"1972-09-26",38.9
"1972-09-27",39.6
"1972-09-28",38.9
"1972-09-29",37.0
"1972-09-30",35.7
"1972-10-01",34.4
"1972-10-02",32.0
"1972-10-03",33.2
"1972-10-04",32.0
"1972-10-05",34.4
"1972-10-06",41.7
"1972-10-07",36.4
"1972-10-08",33.8
"1972-10-09",32.6
"1972-10-10",32.0
"1972-10-11",29.0
"1972-10-12",35.7
"1972-10-13",38.9
"1972-10-14",33.2
"1972-10-15",32.0
"1972-10-16",35.7
"1972-10-17",33.8
"1972-10-18",34.4
"1972-10-19",32.6
"1972-10-20",30.8
"1972-10-21",30.8
"1972-10-22",28.4
"1972-10-23",28.4
"1972-10-24",27.8
"1972-10-25",27.8
"1972-10-26",27.8
"1972-10-27",25.7
"1972-10-28",22.0
"1972-10-29",28.4
"1972-10-30",30.2
"1972-10-31",29.6
"1972-11-01",29.0
"1972-11-02",28.4
"1972-11-03",26.7
"1972-11-04",27.3
"1972-11-05",27.3
"1972-11-06",27.3
"1972-11-07",27.8
"1972-11-08",26.7
"1972-11-09",26.7
"1972-11-10",26.7
"1972-11-11",26.7
"1972-11-12",26.2
"1972-11-13",26.2
"1972-11-14",26.2
"1972-11-15",26.2
"1972-11-16",26.2
"1972-11-17",26.2
"1972-11-18",26.7
"1972-11-19",27.8
"1972-11-20",27.8
"1972-11-21",27.8
"1972-11-22",27.8
"1972-11-23",27.8
"1972-11-24",27.8
"1972-11-25",27.8
"1972-11-26",27.8
"1972-11-27",27.8
"1972-11-28",27.8
"1972-11-29",27.8
"1972-11-30",27.8
"1972-12-01",27.8
"1972-12-02",27.8
"1972-12-03",27.8
"1972-12-04",27.8
"1972-12-05",27.8
"1972-12-06",27.8
"1972-12-07",27.8
"1972-12-08",27.8
"1972-12-09",26.7
"1972-12-10",26.7
"1972-12-11",26.7
"1972-12-12",26.7
"1972-12-13",26.7
"1972-12-14",26.7
"1972-12-15",26.7
"1972-12-16",26.7
"1972-12-17",26.7
"1972-12-18",29.6
"1972-12-19",34.4
"1972-12-20",34.4
"1972-12-21",28.4
"1972-12-22",28.4
"1972-12-23",27.8
"1972-12-24",29.0
"1972-12-25",29.6
"1972-12-26",30.8
"1972-12-27",30.2
"1972-12-28",29.6
"1972-12-29",29.6
"1972-12-30",29.6
"1972-12-31",27.8
"1973-01-01",28.4
"1973-01-02",27.3
"1973-01-03",27.8
"1973-01-04",27.3
"1973-01-05",30.2
"1973-01-06",34.4
"1973-01-07",38.3
"1973-01-08",38.3
"1973-01-09",45.4
"1973-01-10",70.2
"1973-01-11",59.1
"1973-01-12",41.7
"1973-01-13",37.6
"1973-01-14",35.1
"1973-01-15",34.4
"1973-01-16",33.8
"1973-01-17",31.4
"1973-01-18",31.4
"1973-01-19",31.4
"1973-01-20",30.8
"1973-01-21",30.2
"1973-01-22",29.6
"1973-01-23",29.6
"1973-01-24",29.0
"1973-01-25",28.4
"1973-01-26",27.3
"1973-01-27",27.3
"1973-01-28",29.0
"1973-01-29",28.4
"1973-01-30",27.8
"1973-01-31",27.3
"1973-02-01",27.8
"1973-02-02",25.2
"1973-02-03",27.8
"1973-02-04",27.3
"1973-02-05",27.3
"1973-02-06",27.3
"1973-02-07",27.3
"1973-02-08",25.7
"1973-02-09",25.7
"1973-02-10",25.7
"1973-02-11",26.2
"1973-02-12",25.2
"1973-02-13",25.7
"1973-02-14",25.7
"1973-02-15",25.7
"1973-02-16",26.7
"1973-02-17",26.7
"1973-02-18",25.7
"1973-02-19",25.7
"1973-02-20",26.2
"1973-02-21",26.2
"1973-02-22",25.7
"1973-02-23",25.7
"1973-02-24",24.6
"1973-02-25",25.7
"1973-02-26",25.7
"1973-02-27",25.7
"1973-02-28",25.2
"1973-03-01",25.2
"1973-03-02",25.2
"1973-03-03",24.6
"1973-03-04",25.2
"1973-03-05",24.6
"1973-03-06",24.6
"1973-03-07",25.2
"1973-03-08",25.7
"1973-03-09",24.6
"1973-03-10",24.6
"1973-03-11",26.7
"1973-03-12",26.7
"1973-03-13",26.2
"1973-03-14",26.2
"1973-03-15",26.7
"1973-03-16",27.3
"1973-03-17",27.3
"1973-03-18",28.4
"1973-03-19",29.6
"1973-03-20",29.0
"1973-03-21",29.6
"1973-03-22",30.8
"1973-03-23",29.6
"1973-03-24",27.3
"1973-03-25",27.3
"1973-03-26",26.2
"1973-03-27",25.2
"1973-03-28",25.7
"1973-03-29",25.2
"1973-03-30",23.6
"1973-03-31",24.6
"1973-04-01",24.6
"1973-04-02",24.1
"1973-04-03",24.1
"1973-04-04",24.1
"1973-04-05",24.1
"1973-04-06",24.1
"1973-04-07",24.1
"1973-04-08",24.1
"1973-04-09",24.1
"1973-04-10",25.2
"1973-04-11",24.6
"1973-04-12",26.2
"1973-04-13",27.8
"1973-04-14",32.0
"1973-04-15",38.3
"1973-04-16",36.4
"1973-04-17",35.7
"1973-04-18",44.7
"1973-04-19",58.3
"1973-04-20",67.8
"1973-04-21",64.3
"1973-04-22",64.3
"1973-04-23",60.0
"1973-04-24",60.9
"1973-04-25",55.7
"1973-04-26",49.3
"1973-04-27",41.7
"1973-04-28",35.1
"1973-04-29",33.2
"1973-04-30",32.6
"1973-05-01",30.8
"1973-05-02",30.2
"1973-05-03",29.6
"1973-05-04",29.6
"1973-05-05",29.6
"1973-05-06",29.6
"1973-05-07",32.0
"1973-05-08",30.2
"1973-05-09",29.6
"1973-05-10",27.3
"1973-05-11",28.4
"1973-05-12",27.8
"1973-05-13",26.2
"1973-05-14",27.3
"1973-05-15",27.8
"1973-05-16",40.2
"1973-05-17",60.9
"1973-05-18",56.6
"1973-05-19",46.2
"1973-05-20",45.4
"1973-05-21",47.7
"1973-05-22",51.7
"1973-05-23",53.3
"1973-05-24",50.9
"1973-05-25",51.7
"1973-05-26",59.1
"1973-05-27",55.7
"1973-05-28",53.3
"1973-05-29",51.7
"1973-05-30",50.9
"1973-05-31",38.9
"1973-06-01",37.6
"1973-06-02",37.6
"1973-06-03",38.3
"1973-06-04",42.4
"1973-06-05",47.7
"1973-06-06",47.0
"1973-06-07",48.5
"1973-06-08",49.3
"1973-06-09",47.7
"1973-06-10",41.7
"1973-06-11",38.9
"1973-06-12",37.0
"1973-06-13",35.1
"1973-06-14",34.4
"1973-06-15",36.4
"1973-06-16",49.3
"1973-06-17",65.5
"1973-06-18",87.2
"1973-06-19",109.0
"1973-06-20",113.0
"1973-06-21",98.0
"1973-06-22",109.0
"1973-06-23",127.0
"1973-06-24",125.0
"1973-06-25",115.0
"1973-06-26",115.0
"1973-06-27",91.6
"1973-06-28",87.2
"1973-06-29",85.8
"1973-06-30",71.3
"1973-07-01",70.2
"1973-07-02",63.4
"1973-07-03",61.7
"1973-07-04",61.7
"1973-07-05",60.9
"1973-07-06",60.9
"1973-07-07",63.4
"1973-07-08",62.6
"1973-07-09",66.6
"1973-07-10",76.0
"1973-07-11",90.0
"1973-07-12",116.0
"1973-07-13",111.0
"1973-07-14",132.0
"1973-07-15",123.0
"1973-07-16",113.0
"1973-07-17",98.0
"1973-07-18",87.2
"1973-07-19",78.8
"1973-07-20",69.0
"1973-07-21",63.4
"1973-07-22",61.7
"1973-07-23",62.6
"1973-07-24",62.6
"1973-07-25",64.3
"1973-07-26",76.0
"1973-07-27",84.4
"1973-07-28",84.4
"1973-07-29",84.4
"1973-07-30",66.6
"1973-07-31",54.9
"1973-08-01",52.5
"1973-08-02",52.5
"1973-08-03",55.7
"1973-08-04",55.7
"1973-08-05",59.1
"1973-08-06",64.3
"1973-08-07",47.7
"1973-08-08",44.0
"1973-08-09",41.7
"1973-08-10",41.7
"1973-08-11",43.2
"1973-08-12",41.7
"1973-08-13",47.7
"1973-08-14",52.5
"1973-08-15",54.9
"1973-08-16",57.4
"1973-08-17",54.9
"1973-08-18",45.4
"1973-08-19",41.7
"1973-08-20",40.2
"1973-08-21",40.2
"1973-08-22",38.9
"1973-08-23",39.6
"1973-08-24",46.2
"1973-08-25",64.3
"1973-08-26",67.8
"1973-08-27",63.4
"1973-08-28",61.7
"1973-08-29",65.5
"1973-08-30",57.4
"1973-08-31",55.7
"1973-09-01",53.3
"1973-09-02",49.3
"1973-09-03",47.0
"1973-09-04",43.2
"1973-09-05",42.4
"1973-09-06",41.0
"1973-09-07",39.6
"1973-09-08",39.6
"1973-09-09",36.4
"1973-09-10",35.7
"1973-09-11",37.6
"1973-09-12",44.0
"1973-09-13",55.7
"1973-09-14",70.2
"1973-09-15",63.4
"1973-09-16",53.3
"1973-09-17",50.9
"1973-09-18",52.5
"1973-09-19",51.7
"1973-09-20",47.7
"1973-09-21",41.7
"1973-09-22",38.3
"1973-09-23",37.0
"1973-09-24",40.2
"1973-09-25",49.3
"1973-09-26",44.7
"1973-09-27",38.3
"1973-09-28",35.1
"1973-09-29",35.1
"1973-09-30",35.1
"1973-10-01",50.9
"1973-10-02",60.9
"1973-10-03",60.0
"1973-10-04",42.4
"1973-10-05",44.0
"1973-10-06",43.2
"1973-10-07",42.4
"1973-10-08",35.1
"1973-10-09",33.8
"1973-10-10",33.8
"1973-10-11",33.8
"1973-10-12",33.2
"1973-10-13",32.6
"1973-10-14",39.8
"1973-10-15",30.2
"1973-10-16",29.0
"1973-10-17",29.0
"1973-10-18",29.0
"1973-10-19",30.2
"1973-10-20",31.4
"1973-10-21",30.2
"1973-10-22",32.6
"1973-10-23",32.6
"1973-10-24",33.2
"1973-10-25",30.2
"1973-10-26",29.0
"1973-10-27",28.4
"1973-10-28",30.8
"1973-10-29",35.1
"1973-10-30",41.7
"1973-10-31",60.9
"1973-11-01",40.2
"1973-11-02",35.7
"1973-11-03",33.8
"1973-11-04",30.2
"1973-11-05",29.6
"1973-11-06",31.4
"1973-11-07",35.1
"1973-11-08",35.1
"1973-11-09",32.0
"1973-11-10",31.4
"1973-11-11",30.2
"1973-11-12",27.8
"1973-11-13",29.0
"1973-11-14",29.0
"1973-11-15",27.3
"1973-11-16",26.2
"1973-11-17",27.3
"1973-11-18",28.4
"1973-11-19",28.4
"1973-11-20",28.4
"1973-11-21",28.4
"1973-11-22",28.4
"1973-11-23",28.4
"1973-11-24",27.8
"1973-11-25",27.8
"1973-11-26",28.4
"1973-11-27",29.0
"1973-11-28",29.0
"1973-11-29",29.0
"1973-11-30",28.4
"1973-12-01",29.6
"1973-12-02",35.7
"1973-12-03",29.6
"1973-12-04",28.4
"1973-12-05",29.0
"1973-12-06",27.8
"1973-12-07",27.8
"1973-12-08",27.8
"1973-12-09",28.4
"1973-12-10",27.8
"1973-12-11",27.8
"1973-12-12",27.8
"1973-12-13",27.3
"1973-12-14",27.3
"1973-12-15",27.8
"1973-12-16",28.4
"1973-12-17",27.8
"1973-12-18",27.8
"1973-12-19",27.8
"1973-12-20",27.8
"1973-12-21",32.0
"1973-12-22",27.8
"1973-12-23",27.8
"1973-12-24",27.8
"1973-12-25",28.4
"1973-12-26",29.0
"1973-12-27",28.4
"1973-12-28",28.4
"1973-12-29",27.8
"1973-12-30",28.4
"1973-12-31",28.4
"1974-01-01",28.4
"1974-01-02",28.4
"1974-01-03",28.4
"1974-01-04",27.8
"1974-01-05",27.3
"1974-01-06",26.7
"1974-01-07",25.7
"1974-01-08",25.2
"1974-01-09",25.2
"1974-01-10",25.2
"1974-01-11",25.7
"1974-01-12",25.7
"1974-01-13",25.7
"1974-01-14",25.7
"1974-01-15",25.7
"1974-01-16",25.2
"1974-01-17",25.2
"1974-01-18",24.6
"1974-01-19",25.2
"1974-01-20",26.2
"1974-01-21",25.7
"1974-01-22",25.7
"1974-01-23",25.2
"1974-01-24",25.7
"1974-01-25",24.6
"1974-01-26",25.2
"1974-01-27",25.2
"1974-01-28",25.2
"1974-01-29",25.2
"1974-01-30",24.6
"1974-01-31",24.6
"1974-02-01",24.6
"1974-02-02",24.6
"1974-02-03",24.6
"1974-02-04",24.6
"1974-02-05",24.1
"1974-02-06",24.1
"1974-02-07",24.1
"1974-02-08",23.6
"1974-02-09",22.5
"1974-02-10",22.5
"1974-02-11",22.0
"1974-02-12",22.0
"1974-02-13",22.0
"1974-02-14",22.0
"1974-02-15",22.0
"1974-02-16",22.0
"1974-02-17",22.5
"1974-02-18",24.6
"1974-02-19",24.6
"1974-02-20",25.7
"1974-02-21",25.7
"1974-02-22",24.1
"1974-02-23",24.6
"1974-02-24",26.2
"1974-02-25",25.7
"1974-02-26",32.0
"1974-02-27",26.2
"1974-02-28",26.7
"1974-03-01",25.7
"1974-03-02",25.2
"1974-03-03",25.2
"1974-03-04",25.7
"1974-03-05",24.1
"1974-03-06",24.1
"1974-03-07",24.6
"1974-03-08",27.3
"1974-03-09",32.0
"1974-03-10",32.0
"1974-03-11",30.8
"1974-03-12",29.6
"1974-03-13",29.6
"1974-03-14",29.0
"1974-03-15",27.8
"1974-03-16",26.7
"1974-03-17",26.7
"1974-03-18",26.2
"1974-03-19",25.2
"1974-03-20",25.2
"1974-03-21",25.2
"1974-03-22",24.6
"1974-03-23",25.2
"1974-03-24",23.6
"1974-03-25",24.1
"1974-03-26",24.1
"1974-03-27",24.1
"1974-03-28",24.1
"1974-03-29",25.7
"1974-03-30",30.8
"1974-03-31",50.9
"1974-04-01",62.6
"1974-04-02",53.3
"1974-04-03",43.2
"1974-04-04",59.1
"1974-04-05",85.8
"1974-04-06",116.0
"1974-04-07",121.0
"1974-04-08",78.8
"1974-04-09",57.4
"1974-04-10",51.7
"1974-04-11",47.7
"1974-04-12",44.0
"1974-04-13",40.2
"1974-04-14",44.0
"1974-04-15",60.9
"1974-04-16",64.3
"1974-04-17",69.0
"1974-04-18",76.0
"1974-04-19",69.0
"1974-04-20",67.8
"1974-04-21",78.8
"1974-04-22",71.3
"1974-04-23",64.3
"1974-04-24",81.6
"1974-04-25",141.0
"1974-04-26",141.0
"1974-04-27",90.0
"1974-04-28",76.0
"1974-04-29",69.0
"1974-04-30",60.9
"1974-05-01",59.1
"1974-05-02",57.4
"1974-05-03",57.4
"1974-05-04",54.1
"1974-05-05",52.5
"1974-05-06",47.0
"1974-05-07",43.2
"1974-05-08",38.9
"1974-05-09",35.1
"1974-05-10",32.6
"1974-05-11",33.8
"1974-05-12",43.2
"1974-05-13",52.5
"1974-05-14",71.3
"1974-05-15",73.7
"1974-05-16",90.0
"1974-05-17",96.4
"1974-05-18",99.6
"1974-05-19",116.0
"1974-05-20",99.6
"1974-05-21",94.8
"1974-05-22",113.0
"1974-05-23",76.0
"1974-05-24",78.8
"1974-05-25",81.6
"1974-05-26",60.9
"1974-05-27",47.7
"1974-05-28",42.4
"1974-05-29",40.2
"1974-05-30",38.9
"1974-05-31",42.4
"1974-06-01",54.1
"1974-06-02",57.4
"1974-06-03",76.0
"1974-06-04",72.5
"1974-06-05",71.3
"1974-06-06",71.3
"1974-06-07",63.4
"1974-06-08",57.4
"1974-06-09",49.3
"1974-06-10",46.2
"1974-06-11",46.2
"1974-06-12",50.1
"1974-06-13",143.0
"1974-06-14",134.0
"1974-06-15",84.4
"1974-06-16",76.0
"1974-06-17",67.8
"1974-06-18",62.6
"1974-06-19",55.7
"1974-06-20",51.7
"1974-06-21",53.3
"1974-06-22",62.6
"1974-06-23",84.4
"1974-06-24",113.0
"1974-06-25",93.2
"1974-06-26",78.8
"1974-06-27",71.3
"1974-06-28",59.1
"1974-06-29",49.3
"1974-06-30",44.0
"1974-07-01",42.4
"1974-07-02",47.0
"1974-07-03",48.5
"1974-07-04",44.7
"1974-07-05",43.2
"1974-07-06",40.2
"1974-07-07",41.0
"1974-07-08",49.3
"1974-07-09",53.3
"1974-07-10",65.5
"1974-07-11",67.8
"1974-07-12",59.1
"1974-07-13",54.1
"1974-07-14",52.5
"1974-07-15",50.9
"1974-07-16",50.9
"1974-07-17",61.7
"1974-07-18",66.6
"1974-07-19",73.7
"1974-07-20",66.6
"1974-07-21",57.4
"1974-07-22",52.5
"1974-07-23",45.4
"1974-07-24",44.7
"1974-07-25",47.7
"1974-07-26",50.9
"1974-07-27",54.1
"1974-07-28",56.6
"1974-07-29",48.4
"1974-07-30",43.2
"1974-07-31",38.9
"1974-08-01",37.6
"1974-08-02",38.3
"1974-08-03",38.3
"1974-08-04",37.6
"1974-08-05",40.2
"1974-08-06",44.7
"1974-08-07",55.7
"1974-08-08",60.9
"1974-08-09",59.1
"1974-08-10",55.7
"1974-08-11",54.9
"1974-08-12",50.1
"1974-08-13",53.3
"1974-08-14",49.3
"1974-08-15",46.2
"1974-08-16",44.7
"1974-08-17",43.2
"1974-08-18",41.0
"1974-08-19",41.0
"1974-08-20",44.0
"1974-08-21",41.0
"1974-08-22",37.0
"1974-08-23",33.8
"1974-08-24",32.6
"1974-08-25",32.0
"1974-08-26",31.4
"1974-08-27",30.2
"1974-08-28",30.8
"1974-08-29",32.0
"1974-08-30",30.8
"1974-08-31",33.8
"1974-09-01",38.3
"1974-09-02",44.0
"1974-09-03",49.3
"1974-09-04",49.3
"1974-09-05",53.3
"1974-09-06",49.3
"1974-09-07",40.2
"1974-09-08",35.7
"1974-09-09",33.2
"1974-09-10",32.6
"1974-09-11",32.0
"1974-09-12",31.4
"1974-09-13",35.7
"1974-09-14",33.8
"1974-09-15",31.4
"1974-09-16",30.8
"1974-09-17",30.8
"1974-09-18",27.8
"1974-09-19",29.0
"1974-09-20",29.0
"1974-09-21",27.8
"1974-09-22",29.0
"1974-09-23",28.4
"1974-09-24",28.4
"1974-09-25",27.8
"1974-09-26",27.8
"1974-09-27",26.7
"1974-09-28",27.3
"1974-09-29",27.8
"1974-09-30",27.8
"1974-10-01",27.8
"1974-10-02",27.8
"1974-10-03",28.4
"1974-10-04",28.4
"1974-10-05",28.4
"1974-10-06",27.8
"1974-10-07",27.8
"1974-10-08",27.8
"1974-10-09",26.7
"1974-10-10",26.7
"1974-10-11",27.8
"1974-10-12",28.4
"1974-10-13",33.8
"1974-10-14",41.0
"1974-10-15",38.3
"1974-10-16",29.0
"1974-10-17",29.0
"1974-10-18",29.6
"1974-10-19",29.0
"1974-10-20",28.4
"1974-10-21",28.4
"1974-10-22",27.3
"1974-10-23",32.0
"1974-10-24",29.0
"1974-10-25",28.4
"1974-10-26",27.8
"1974-10-27",26.7
"1974-10-28",24.6
"1974-10-29",29.6
"1974-10-30",37.6
"1974-10-31",31.4
"1974-11-01",29.6
"1974-11-02",28.4
"1974-11-03",29.0
"1974-11-04",35.7
"1974-11-05",54.1
"1974-11-06",29.0
"1974-11-07",29.0
"1974-11-08",30.2
"1974-11-09",28.4
"1974-11-10",27.8
"1974-11-11",28.4
"1974-11-12",26.7
"1974-11-13",27.3
"1974-11-14",27.3
"1974-11-15",26.7
"1974-11-16",26.2
"1974-11-17",26.2
"1974-11-18",26.2
"1974-11-19",26.2
"1974-11-20",25.7
"1974-11-21",24.6
"1974-11-22",24.6
"1974-11-23",26.2
"1974-11-24",26.7
"1974-11-25",26.7
"1974-11-26",26.7
"1974-11-27",26.2
"1974-11-28",26.2
"1974-11-29",25.7
"1974-11-30",25.7
"1974-12-01",24.6
"1974-12-02",25.2
"1974-12-03",25.7
"1974-12-04",25.2
"1974-12-05",25.7
"1974-12-06",26.2
"1974-12-07",25.2
"1974-12-08",26.2
"1974-12-09",25.2
"1974-12-10",25.2
"1974-12-11",25.2
"1974-12-12",24.6
"1974-12-13",24.6
"1974-12-14",24.6
"1974-12-15",24.6
"1974-12-16",24.6
"1974-12-17",24.6
"1974-12-18",24.6
"1974-12-19",24.6
"1974-12-20",24.6
"1974-12-21",24.6
"1974-12-22",24.6
"1974-12-23",24.6
"1974-12-24",24.6
"1974-12-25",24.6
"1974-12-26",24.6
"1974-12-27",24.6
"1974-12-28",24.6
"1974-12-29",24.6
"1974-12-30",24.6
"1974-12-31",25.7

Mean daily flow (cumecs), Jokulsa Eystri River, 1 Jan 1972 ? 31 Dec 1974

